epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,683.897,1.25917,2.68057,1.36735,0.45399,0.38023,0.36603,0.23189,1.07389,4.50578,1.2083,0.00999594,0.00333198,0.00999594,0.00333198,0.00999594,0.00333198,0.00999594,0.00333198
2,1210.56,1.26782,2.2645,1.35167,0.42504,0.37477,0.32471,0.20388,1.15234,4.86074,1.29179,0.0199179,0.0066393,0.0199179,0.0066393,0.0199179,0.0066393,0.0199179,0.0066393
3,1688.19,1.35482,2.48187,1.41267,0.41828,0.32444,0.30165,0.1825,1.1803,5.10094,1.29746,0.0295295,0.00984315,0.0295295,0.00984315,0.0295295,0.00984315,0.0295295,0.00984315
4,2146.31,1.34965,2.43722,1.42,0.45689,0.39803,0.38459,0.25107,1.0935,4.29807,1.25643,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
5,2603.98,1.27467,2.13725,1.36573,0.54959,0.46917,0.4804,0.32264,1.01649,4.80306,1.20079,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
6,3062.09,1.21091,1.94863,1.32551,0.54659,0.52319,0.5229,0.35793,0.97083,4.30187,1.17341,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
7,3520.57,1.18149,1.82684,1.30704,0.5732,0.53654,0.55076,0.3781,1.00123,4.07511,1.17096,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
8,3979.98,1.14707,1.70207,1.2811,0.5971,0.58191,0.59573,0.41578,0.94434,4.30219,1.13745,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
9,4439.37,1.11642,1.60718,1.25957,0.63562,0.58256,0.62289,0.43841,0.9527,4.03295,1.15793,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
10,4899.65,1.08898,1.52587,1.24231,0.68197,0.60581,0.63958,0.45799,0.92164,4.47972,1.12248,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
11,5358.46,1.06128,1.43908,1.22637,0.67198,0.63083,0.66426,0.48136,0.91245,3.5211,1.11824,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
12,5817.65,1.04591,1.36696,1.2148,0.68112,0.64535,0.68716,0.50141,0.88497,3.3121,1.09823,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
13,6276.97,1.02534,1.29576,1.20179,0.72481,0.63714,0.69455,0.51069,0.8717,3.40075,1.07838,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
14,6737.01,0.99805,1.23778,1.18691,0.73448,0.64881,0.69638,0.51332,0.87813,3.44205,1.07836,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
15,7196.98,0.97793,1.17111,1.17269,0.73739,0.65501,0.70842,0.52357,0.88173,3.31792,1.0942,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
16,7654.19,0.93703,0.9375,1.15701,0.73952,0.66262,0.71586,0.52903,0.86036,2.96319,1.07066,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
17,8108.6,0.90175,0.85385,1.13645,0.73143,0.68379,0.7219,0.53425,0.84535,2.96855,1.05601,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
18,8564.56,0.87654,0.78658,1.11832,0.74676,0.68288,0.72707,0.53872,0.84564,2.8578,1.05697,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
19,9019.79,0.85254,0.72856,1.10229,0.74126,0.69486,0.73753,0.54657,0.85041,2.6178,1.06769,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
20,9474.82,0.82755,0.6769,1.08566,0.74117,0.6965,0.73817,0.54805,0.84626,2.59089,1.05911,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
21,9931.07,0.8085,0.6401,1.07403,0.74189,0.69963,0.73923,0.54877,0.84402,2.49359,1.07055,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
22,10386.1,0.79545,0.60869,1.0661,0.75331,0.69223,0.74141,0.54963,0.8269,2.3921,1.051,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
23,10841.7,0.78118,0.5849,1.05789,0.75149,0.69143,0.74298,0.55073,0.82406,2.33354,1.04901,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
24,11297.1,0.77256,0.56948,1.0543,0.75037,0.69195,0.7432,0.55095,0.82274,2.29444,1.04789,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
25,11753.7,0.76492,0.5612,1.05078,0.74545,0.69908,0.74382,0.55173,0.82259,2.27836,1.04828,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
